index,question_flag,answer_flag,interjection_flag,speech_flag,chamber_flag,name,name.id,electorate,party,role,page.no,content,subdebateinfo,debateinfo,path,Speaker,Time
1,0,0,1,0,1,"INNES, Urquhart","KJA","N/A","N/A","N/A",768,"768 KJA 0 0 INNES, Urquhart Mr Innes - Tell us who doctored the report.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[1]/talk.start","N/A","N/A"
2,0,0,1,0,1,"HOLDING, Clyde","CH4","N/A","N/A","N/A",768,"768 CH4 0 0 HOLDING, Clyde Mr Holding - I raise a point of order, Mr Speaker. I ask the Treasurer whether he proposes to table the document from which he is quoting and state its source.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[2]/talk.start","N/A","N/A"
3,0,0,1,0,1,"YOUNG, Mick","EV4","N/A","N/A","N/A",768,"768 EV4 0 0 YOUNG, Mick Mr Young - Is it all of the document or part of it?","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[3]/talk.start","N/A","N/A"
4,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",768,"768 RK4 0 0 HAYDEN, Bill Mr Hayden - Mr Speaker, I raise a point of order.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[4]/talk.start","N/A","N/A"
5,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",768,"768 RK4 0 0 HAYDEN, Bill Mr Hayden - Mr Speaker, I raise a point of order. The document that the Treasurer has is a doctored document. The document to which I referred is much more voluminous than that.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[5]/talk.start","N/A","N/A"
6,0,0,1,0,1,"HOLDING, Clyde","CH4","N/A","N/A","N/A",769,"769 CH4 0 0 HOLDING, Clyde Mr Holding - Mr Speaker, I wish to raise a point of order.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[6]/talk.start","N/A","N/A"
7,0,0,1,0,1,"HOLDING, Clyde","CH4","N/A","N/A","N/A",769,"769 CH4 0 0 HOLDING, Clyde Mr Holding - Mr Speaker, perhaps you ought to hear the point of order before you start making threats.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[7]/talk.start","N/A","N/A"
8,0,0,1,0,1,"HOLDING, Clyde","CH4","N/A","N/A","N/A",769,"769 CH4 0 0 HOLDING, Clyde Mr Holding - I understand that under the Standing Orders it is perfectly in order for me to ask the Treasurer not only to table the document but also to inform the House of the document from which he is quoting. He has not informed the House of the nature of this document or what it is. I think the House is entitled to that knowledge.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[8]/talk.start","N/A","N/A"
9,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",769,"769 RK4 0 0 HAYDEN, Bill Mr Hayden - Quote the part on taxes and appreciation.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[9]/talk.start","N/A","N/A"
10,0,0,1,0,1,"DAWKINS, John","9E4","N/A","N/A","N/A",769,"769 9E4 0 0 DAWKINS, John Mr Dawkins - You did not insist on that last night.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[10]/talk.start","N/A","N/A"
11,0,0,1,0,1,"HURFORD, Chris","AV4","N/A","N/A","N/A",769,"769 AV4 0 0 HURFORD, Chris Mr Hurford - Mr Speaker, I second the motion.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[11]/talk.start","N/A","N/A"
12,0,0,1,0,1,"SINCLAIR, Ian","5E4","N/A","N/A","N/A",769,"769 5E4 0 0 SINCLAIR, Ian Mr Sinclair - Mr Speaker,will you ensure that an adequate number of copies of the document is printed? If the normal number is inadequate I would be grateful if that number could be doubled because we want to make sure that adequate numbers are available for perusal.","ECONOMIC STRATEGY REPORT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/interjection[12]/talk.start","N/A","N/A"
13,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",771,"771 RK4 0 0 HAYDEN, Bill Mr Hayden - Table Mays report. It devastates you. It kills you.","REPORT OF THE INTERDEPARTMENTAL COMMITTEE ON ECONOMIC STRATEGY","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[5]/answer/interjection[1]/talk.start","N/A","N/A"
14,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",771,"771 RK4 0 0 HAYDEN, Bill Mr Hayden - The Treasurer cannot assert that.","REPORT OF THE INTERDEPARTMENTAL COMMITTEE ON ECONOMIC STRATEGY","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[5]/answer/interjection[2]/talk.start","N/A","N/A"
15,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",771,"771 RK4 0 0 HAYDEN, Bill Mr Hayden - Oh!","REPORT OF THE INTERDEPARTMENTAL COMMITTEE ON ECONOMIC STRATEGY","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[5]/answer/interjection[3]/talk.start","N/A","N/A"
16,0,0,1,0,1,"HODGMAN, Michael","BV4","N/A","N/A","N/A",773,"773 BV4 0 0 HODGMAN, Michael Mr Hodgman - Rubbish!","BUDGET DEFICIT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[9]/question/interjection[1]/talk.start","N/A","N/A"
17,0,0,1,0,1,"HODGMAN, Michael","BV4","N/A","N/A","N/A",773,"773 BV4 0 0 HODGMAN, Michael Mr Hodgman - Poppycock!","BUDGET DEFICIT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[9]/question/interjection[2]/talk.start","N/A","N/A"
18,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",773,"773 RK4 0 0 HAYDEN, Bill Mr Hayden - I raise a point of order, Mr Speaker. First of all, I acknowledge the difficulty of your situation. On the other hand, I would like you to acknowledge the difficulty of our position in this House. There are clear restrictions on the way in which we can present a question and limitations, on the wording that we can use. On the other hand, there appears to be no limitations on either the time which the Minister can take to answer a question or the outrageous claims he can make to put his point.","BUDGET DEFICIT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[9]/question/interjection[3]/talk.start","N/A","N/A"
19,0,0,1,0,1,"FRASER, Malcolm","QS4","N/A","N/A","N/A",774,"774 QS4 0 0 FRASER, Malcolm Mr Malcolm Fraser - Mr Speaker, I was actually going to raise a point of order because I was going to ask whether you would ask the Australian Broadcasting Commission to keep the microphone in front of the Leader of the Opposition turned up so that the kind of remark to which you objected, but which continues right throughout Question Time no matter which Minister is answering a question, can be heard by all listeners in Australia.","BUDGET DEFICIT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[9]/question/interjection[4]/talk.start","N/A","N/A"
20,0,0,1,0,1,"YOUNG, Mick","EV4","N/A","N/A","N/A",774,"774 EV4 0 0 YOUNG, Mick Mr Young - Point of order!","BUDGET DEFICIT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[9]/question/interjection[5]/talk.start","N/A","N/A"
21,0,0,1,0,1,"FRASER, Malcolm","QS4","N/A","N/A","N/A",774,"774 QS4 0 0 FRASER, Malcolm Mr Malcolm Fraser - But it cannot be heard unless the Leader of the Opposition has the call.","BUDGET DEFICIT","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[3]/subdebate.1[9]/question/interjection[6]/talk.start","N/A","N/A"
