index,question_flag,answer_flag,interjection_flag,speech_flag,petition_flag,quote_flag,motionnospeech_flag,chamber_flag,name,name.id,electorate,party,role,page.no,content,subdebateinfo,debateinfo,path,Speaker,Time
451,0,0,1,0,0,0,0,1,"REID, George","F4P","N/A","N/A","N/A",62,"- No, no. I can assure my honorable friend upon that point.","N/A","GOVERNOR-GENERALS SPEECH: ADDRESS-IN-REPLY","/hansard/chamber.xscript/debate[5]/speech[3]/interjection[5]/talk.start/para","N/A","N/A"
452,0,0,0,1,0,0,0,1,"DEAKIN, Alfred","009MD","N/A","N/A","N/A",62,"- Directly the Prime Minister gives me his assurance, I press the matter no further. However, believing that to be so, the illustration of the Arbitration Bill was perfectly apposite and apt, and from my point of view, perfectly correct. I remarked that the consideration of that measure offered a concrete opportunity of presenting the question, and that no such opportunity had been presented since, because the Prime Minister has not introduced any Bill relating to industrial matters. I said that the opportunity was concrete then and not theoretical.","N/A","GOVERNOR-GENERALS SPEECH: ADDRESS-IN-REPLY","/hansard/chamber.xscript/debate[5]/speech[3]/continue[5]/talk.start/para","N/A","N/A"
453,0,0,1,0,0,0,0,1,"REID, George","F4P","N/A","N/A","N/A",62,"- If could never be concrete in this House whilst the Government  only possessed a majority of two.","N/A","GOVERNOR-GENERALS SPEECH: ADDRESS-IN-REPLY","/hansard/chamber.xscript/debate[5]/speech[3]/interjection[6]/talk.start/para","N/A","N/A"
454,0,0,0,1,0,0,0,1,"DEAKIN, Alfred","009MD","N/A","N/A","N/A",62,"- I have digressed a little from my course in order to deal with that matter, because it is one of the two specific cases to which reference has been made. The Prime Minister will remember that when the anti-socialistic leagues were proposed, the very first inquiry which I addressed to him was  What is the programme to be ? When the right honorable gentleman stated that he intended to leave the leagues in Victoria to the Victorians - and especially to his supporters - I informed him that, in my opinion, the movement would not be successful in this State unless it set out with a definite and distinctive programme. After having made inquiry, I think that he satisfied himself that that was also the opinion of other competent persons.","N/A","GOVERNOR-GENERALS SPEECH: ADDRESS-IN-REPLY","/hansard/chamber.xscript/debate[5]/speech[3]/continue[6]/talk.start/para","N/A","N/A"
455,0,0,1,0,0,0,0,1,"REID, George","F4P","N/A","N/A","N/A",62,"- These leagues are going to do the same thing except that they are going to frame their own policy.","N/A","GOVERNOR-GENERALS SPEECH: ADDRESS-IN-REPLY","/hansard/chamber.xscript/debate[5]/speech[3]/interjection[7]/talk.start/para","N/A","N/A"
456,0,0,1,0,0,0,0,1,"MCDONALD, Charles","KQP","N/A","N/A","N/A",62,"- Surely the Prime Minister will never submit to a caucus.","N/A","GOVERNOR-GENERALS SPEECH: ADDRESS-IN-REPLY","/hansard/chamber.xscript/debate[5]/speech[3]/interjection[8]/talk.start/para","N/A","N/A"
457,0,0,0,1,0,0,0,1,"DEAKIN, Alfred","009MD","N/A","N/A","N/A",62,"- - If honorable members will permit me to proceed, they will see that I am now approaching the Ballarat speech, which dealt with two subjects in particular, although other matters were mentioned. Those two subjects may satisfy us sufficiently, because they cover practically the whole of the speech, and because they constitute the only two points which have been challenged. The first relates to my criticism of the anti-socialistic movement. The Prime Minister will recollect - as I have previously said - that when it was proposed to establish these leagues, I objected from the very outset that a mere general anti-socialistic crusade would not succeed, and that I could take no part in it unless a definite programme was put forward. WhenI went to Ballarat, therefore, and made that the text of the first part of the whole of my speech, it came as no shock ..or surprise to any member of the Government, or to any person in Victoria who watches politics. I have taken up the same position from the first. The Ministry knew it - they were perfectly well aware of it. When, therefore, I devoted half my speech to that question, I was speaking of something upon which the Government knew my views better than did anybody else in the community. Then the Prime Minister will recollect that as the result of an interview which -I had with him. he suggested that I should see my old friend and colleague, Sir George Turner. I did so, and during the greater portion of the consultation I had the advantage of the presence of the Minister of Defence.","N/A","GOVERNOR-GENERALS SPEECH: ADDRESS-IN-REPLY","/hansard/chamber.xscript/debate[5]/speech[3]/continue[7]/talk.start/para","N/A","N/A"
458,0,0,1,0,0,0,0,1,"POYNTON, Alexander","KYD","N/A","N/A","N/A",62,"- Was that before the Ballarat speech was delivered?","N/A","GOVERNOR-GENERALS SPEECH: ADDRESS-IN-REPLY","/hansard/chamber.xscript/debate[5]/speech[3]/interjection[9]/talk.start/para","N/A","N/A"
459,0,0,0,1,0,0,0,1,"DEAKIN, Alfred","009MD","N/A","N/A","N/A",62,"- Yes ; I am referring to what occurred a fortnight or three weeks ago. The Prime Minister will remember that some months ago I pointed out to him that while his majority stood as it did, and there was no apparent danger ahead, yet the first time that the fiscal question was introduced, into the House he must look forward to seeing his majority grievously imperilled. I think that the right honorable gentleman agreed with me. At all events, I took the responsibility of warning him most seriously. X thought that the prospect of any such question arising during the present session was rather remote. I realized that any recommendation of the Tariff Commission might bring it forward, but, so far as one can judge from the press reports* no such proposal is in immediate contemplation. However, I took time by the forelock, and it is now two or three months since in that spirit of frank and loya] support to which the Prime Minister lias so frequently referred to-night, but always to point out what appeared to be shortcomings, I took the liberty of cautioning him. Directly I saw this fiscal danger on the horizon, the first living person to whom I spoke on the subject was the head of the Government.","N/A","GOVERNOR-GENERALS SPEECH: ADDRESS-IN-REPLY","/hansard/chamber.xscript/debate[5]/speech[3]/continue[8]/talk.start/para","N/A","N/A"
460,0,0,1,0,0,0,0,1,"REID, George","F4P","N/A","N/A","N/A",62,"- It was a possible event of the future to which the honorable and learned member referred.","N/A","GOVERNOR-GENERALS SPEECH: ADDRESS-IN-REPLY","/hansard/chamber.xscript/debate[5]/speech[3]/interjection[10]/talk.start/para","N/A","N/A"
