date	xml_link	pdf_link	file
21-11-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-21/toc_unixml/19121121_reps_4_68_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-21/toc_pdf/19121121_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-11-21/0043%22	Id%3A%22hansard80%2Fhansardr80%2F1912-11-21%2F0043%22.html
22-11-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-22/toc_unixml/19121122_reps_4_68_v7.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-22/toc_pdf/19121122_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-11-22/0026%22	Id%3A%22hansard80%2Fhansardr80%2F1912-11-22%2F0026%22.html
22-11-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-22/toc_unixml/19121122_reps_4_68_v7.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-22/toc_pdf/19121122_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-11-22/0027%22	Id%3A%22hansard80%2Fhansardr80%2F1912-11-22%2F0027%22.html
26-11-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-26/toc_unixml/19121126_reps_4_68_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-26/toc_pdf/19121126_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-11-26/0029%22	Id%3A%22hansard80%2Fhansardr80%2F1912-11-26%2F0029%22.html
27-11-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-27/toc_unixml/19121127_reps_4_68_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-27/toc_pdf/19121127_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-11-27/0001%22	Id%3A%22hansard80%2Fhansardr80%2F1912-11-27%2F0001%22.html
27-11-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-27/toc_unixml/19121127_reps_4_68_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-27/toc_pdf/19121127_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-11-27/0031%22	Id%3A%22hansard80%2Fhansardr80%2F1912-11-27%2F0031%22.html
28-11-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-28/toc_unixml/19121128_reps_4_68_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-28/toc_pdf/19121128_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-11-28/0025%22	Id%3A%22hansard80%2Fhansardr80%2F1912-11-28%2F0025%22.html
29-11-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-29/toc_unixml/19121129_reps_4_68_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-11-29/toc_pdf/19121129_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-11-29/0028%22	Id%3A%22hansard80%2Fhansardr80%2F1912-11-29%2F0028%22.html
02-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-02/toc_unixml/19121202_reps_4_68_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-02/toc_pdf/19121202_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-02/0001%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-02%2F0001%22.html
02-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-02/toc_unixml/19121202_reps_4_68_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-02/toc_pdf/19121202_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-02/0018%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-02%2F0018%22.html
03-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-03/toc_unixml/19121203_reps_4_68_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-03/toc_pdf/19121203_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-03/0034%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-03%2F0034%22.html
04-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-04/toc_unixml/19121204_reps_4_68_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-04/toc_pdf/19121204_reps_4_68.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-04/0001%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-04%2F0001%22.html
