"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","non_speech_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","0","0","0","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","A quorum not being present,","N/A","N/A","/hansard/chamber.xscript/business.start/para[1]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","2","N/A","N/A","N/A","N/A","N/A","N/A","The President adjourned the Senate at 11.5 a.m.","N/A","N/A","/hansard/chamber.xscript/business.start/para[2]","N/A","N/A","N/A"
